ATC;Bezeichnung
A06AB58;A06AB58 Natriumpicosulfat, Kombinationen
A06AC01;A06AC01 Ispaghula (Flohsamen)
A06AC02;A06AC02 Ethulose
A06AC03;A06AC03 Sterculia
A06AC05;A06AC05 Leinsamen
A06AC06;A06AC06 Methylcellulose
A06AC07;A06AC07 Triticum (Weizenkleie)
A06AC08;A06AC08 Polycarbophil-Calcium
A06AC51;A06AC51 Ispaghula, Kombinationen
A06AC53;A06AC53 Sterculia, Kombinationen
A06AC55;A06AC55 Leinsamen, Kombinationen
A06AD01;A06AD01 Magnesiumcarbonat
A06AD02;A06AD02 Magnesiumoxid
A06AD03;A06AD03 Magnesiumperoxid
A06AD04;A06AD04 Magnesiumsulfat
A06AD10;A06AD10 Mineralsalze in Kombination
A06AD11;A06AD11 Lactulose
A06AD12;A06AD12 Lactitol
A06AD13;A06AD13 Natriumsulfat
A06AD14;A06AD14 Pentaerythrityl
A06AD15;A06AD15 Macrogol
A06AD16;A06AD16 Mannitol
A06AD17;A06AD17 Natriumphosphat
A06AD18;A06AD18 Sorbitol
A06AD19;A06AD19 Magnesiumcitrat
A06AD21;A06AD21 Natriumtartrat
A06AD61;A06AD61 Lactulose, Kombinationen
A06AD65;A06AD65 Macrogol, Kombinationen
A06AG01;A06AG01 Natriumphosphat
A06AG02;A06AG02 Bisacodyl
A06AG03;A06AG03 Dantron, inkl. Kombinationen
A06AG04;A06AG04 Glycerol
A06AG06;A06AG06 Öl
A06AG07;A06AG07 Sorbitol
A06AG10;A06AG10 Docusat-Natrium, inkl. Kombinationen
A06AG11;A06AG11 Laurylsulfat, inkl. Kombinationen
A06AG20;A06AG20 Kombinationen
A06AH01;A06AH01 Methylnaltrexon bromid
A06AH02;A06AH02 Alvimopan
A06AX01;A06AX01 Glycerol
A06AX02;A06AX02 Kohlendioxid freisetzende Mittel
A06AX03;A06AX03 Lubiproston
A07AA01;A07AA01 Neomycin
A07AA02;A07AA02 Nystatin
A07AA03;A07AA03 Natamycin
A07AA04;A07AA04 Streptomycin
A07AA05;A07AA05 Polymyxin B
A07AA06;A07AA06 Paromomycin
A07AA07;A07AA07 Amphotericin B
A07AA08;A07AA08 Kanamycin
A07AA09;A07AA09 Vancomycin
A07AA10;A07AA10 Colistin
A07AA11;A07AA11 Rifaximin
A07AA51;A07AA51 Neomycin, Kombinationen
A07AA54;A07AA54 Streptomycin, Kombinationen
A07AB02;A07AB02 Phthalylsulfathiazol
A07AB03;A07AB03 Sulfaguanidin
A07AB04;A07AB04 Succinylsulfathiazol
A07AC01;A07AC01 Miconazol
A07AX01;A07AX01 Broxychinolin
A07AX02;A07AX02 Acetarsol
A07AX03;A07AX03 Nifuroxazid
A07AX04;A07AX04 Nifurzid
A07BA01;A07BA01 Medizinische Kohle
A07BA51;A07BA51 Medizinische Kohle, Kombinationen
A07BC01;A07BC01 Pektin
A07BC02;A07BC02 Kaolin
A07BC03;A07BC03 Crospovidon
A07BC04;A07BC04 Attapulgit
A07BC05;A07BC05 Diosmectit
A07BC30;A07BC30 Kombinationen
A07BC54;A07BC54 Attapulgit, Kombinationen
A07DA01;A07DA01 Diphenoxylat
A07DA02;A07DA02 Opium
A07DA03;A07DA03 Loperamid
A07DA04;A07DA04 Difenoxin
A07DA05;A07DA05 Loperamidoxid
A07DA52;A07DA52 Morphin, Kombinationen
A07DA53;A07DA53 Loperamid, Kombinationen
A07EA01;A07EA01 Prednisolon
A07EA02;A07EA02 Hydrocortison
A07EA03;A07EA03 Prednison
A07EA04;A07EA04 Betamethason
A07EA05;A07EA05 Tixocortol
A07EA06;A07EA06 Budesonid
A07EA07;A07EA07 Beclometason
A07EB01;A07EB01 Cromoglicinsäure
A07EC01;A07EC01 Sulfasalazin
A07EC02;A07EC02 Mesalazin
A07EC03;A07EC03 Olsalazin
A07EC04;A07EC04 Balsalazid
A07FA01;A07FA01 Milchsäurebildner
A07FA02;A07FA02 Saccharomyces boulardii
A07FA51;A07FA51 Milchsäurebildner, Kombinationen
A07XA01;A07XA01 Albumintannat
A07XA02;A07XA02 Ceratonia
A07XA03;A07XA03 Calcium-haltige Verbindungen
A07XA04;A07XA04 Racecadotril
A07XA51;A07XA51 Albumintannat, Kombinationen
A08AA01;A08AA01 Phentermin
A08AA02;A08AA02 Fenfluramin
A08AA03;A08AA03 Amfepramon
A08AA04;A08AA04 Dexfenfluramin
A08AA05;A08AA05 Mazindol
A08AA06;A08AA06 Etilamfetamin
A08AA07;A08AA07 Cathin
A08AA08;A08AA08 Clobenzorex
A08AA09;A08AA09 Mefenorex
A08AA10;A08AA10 Sibutramin
A08AA56;A08AA56 Ephedrin, Kombinationen
A08AB01;A08AB01 Orlistat
A08AX01;A08AX01 Rimonabant
A09AA01;A09AA01 Diastase
A09AA02;A09AA02 Multienzyme (Lipase, Protease etc.)
A09AA03;A09AA03 Pepsin
A09AA04;A09AA04 Tilactase
A09AB01;A09AB01 Glutaminsäurehydrochlorid
A09AB02;A09AB02 Betainhydrochlorid
A09AB03;A09AB03 Salzsäure
A09AB04;A09AB04 Zitronensäure
A09AC01;A09AC01 Pepsin- und Säure-haltige Zubereitungen
A09AC02;A09AC02 Multienzyme und säure-haltige Zubereitungen
A10AB01;A10AB01 Insulin (human)
A10AB02;A10AB02 Insulin (Rind)
A10AB03;A10AB03 Insulin (Schwein)
A10AB04;A10AB04 Insulin lispro
A10AB05;A10AB05 Insulin aspart
A10AB06;A10AB06 Insulin glulisin
A10AB30;A10AB30 Kombinationen
A10AC01;A10AC01 Insulin (human)
A10AC02;A10AC02 Insulin (Rind)
A10AC03;A10AC03 Insulin (Schwein)
A10AC04;A10AC04 Insulin lispro
A10AC30;A10AC30 Kombinationen
A10AD01;A10AD01 Insulin (human)
A10AD02;A10AD02 Insulin (Rind)
A10AD03;A10AD03 Insulin (Schwein)
A10AD04;A10AD04 Insulin lispro
A10AD05;A10AD05 Insulin aspart
A10AD30;A10AD30 Kombinationen
A10AE01;A10AE01 Insulin (human)
A10AE02;A10AE02 Insulin (Rind)
A10AE03;A10AE03 Insulin (Schwein)
A10AE04;A10AE04 Insulin glargin
A10AE05;A10AE05 Insulin detemir
A10AE30;A10AE30 Kombinationen
A10AF01;A10AF01 Insulin (human)
A10BA01;A10BA01 Phenformin
A10BA02;A10BA02 Metformin
A10BA03;A10BA03 Buformin
A10BB01;A10BB01 Glibenclamid
A10BB02;A10BB02 Chlorpropamid
A10BB03;A10BB03 Tolbutamid
A10BB04;A10BB04 Glibornurid
A10BB05;A10BB05 Tolazamid
A10BB06;A10BB06 Carbutamid
A10BB07;A10BB07 Glipizid
A10BB08;A10BB08 Gliquidon
A10BB09;A10BB09 Gliclazid
A10BB10;A10BB10 Metahexamid
A10BB11;A10BB11 Glisoxepid
A10BB12;A10BB12 Glimepirid
A10BB31;A10BB31 Acetohexamid
A10BC01;A10BC01 Glymidin
A10BD01;A10BD01 Phenformin und Sulfonamide
A10BD02;A10BD02 Metformin und Sulfonamide
A10BD03;A10BD03 Metformin und Rosiglitazon
A10BD04;A10BD04 Glimepirid und Rosiglitazon
A10BD05;A10BD05 Metformin und Pioglitazon
A10BD06;A10BD06 Glimepirid und Pioglitazon
A10BD07;A10BD07 Metformin und Sitagliptin
A10BD08;A10BD08 Metformin und Vildagliptin
A10BD09;A10BD09 Pioglitazon und Alogliptin
A10BD10;A10BD10 Metformin und Saxagliptin
A10BD11;A10BD11 Metformin und Linagliptin
A10BF01;A10BF01 Acarbose
A10BF02;A10BF02 Miglitol
A10BF03;A10BF03 Voglibose
A10BG01;A10BG01 Troglitazon
A10BG02;A10BG02 Rosiglitazon
A10BG03;A10BG03 Pioglitazon
A10BH01;A10BH01 Sitagliptin
A10BH02;A10BH02 Vildagliptin
A10BH03;A10BH03 Saxagliptin
A10BH04;A10BH04 Alogliptin
A10BH05;A10BH05 Linagliptin
A10BX01;A10BX01 Guarmehl
A10BX02;A10BX02 Repaglinid
A10BX03;A10BX03 Nateglinid
A10BX04;A10BX04 Exenatid
A10BX05;A10BX05 Pramlintid
A10BX06;A10BX06 Benfluorex
A10BX07;A10BX07 Liraglutid
A10BX08;A10BX08 Mitiglinid
A10BX09;A10BX09 Dapagliflozin
A10XA01;A10XA01 Tolrestat
A11AA01;A11AA01 Multivitamine und Eisen
A11AA02;A11AA02 Multivitamine und Calcium
A11AA03;A11AA03 Multivitamine und andere Mineralstoffe, inkl. Kombinationen
A11AA04;A11AA04 Multivitamine und Spurenelemente
A11CA01;A11CA01 Retinol (Vitamin A)
A11CA02;A11CA02 Betacaroten
A11CC01;A11CC01 Ergocalciferol
A11CC02;A11CC02 Dihydrotachysterol
A11CC03;A11CC03 Alfacalcidol
A11CC04;A11CC04 Calcitriol
A11CC05;A11CC05 Colecalciferol
A11CC06;A11CC06 Calcifediol
A11CC20;A11CC20 Kombinationen
A11DA01;A11DA01 Thiamin (Vitamin B1)
A11DA02;A11DA02 Sulbutiamin
A11DA03;A11DA03 Benfotiamin
A11GA01;A11GA01 Ascorbinsäure (Vitamin C)
A11GB01;A11GB01 Ascorbinsäure (Vitamin C) und Calcium
A11HA01;A11HA01 Nicotinamid
A11HA02;A11HA02 Pyridoxin (Vitamin B6)
A11HA03;A11HA03 Tocopherol (Vitamin E)
A11HA04;A11HA04 Riboflavin (Vitamin B2)
A11HA05;A11HA05 Biotin
A11HA06;A11HA06 Pyridoxalphosphat
A11HA07;A11HA07 Inositol
A11HA08;A11HA08 Tocofersolan
A11HA30;A11HA30 Dexpanthenol
A11HA31;A11HA31 Calciumpantothenat
A11HA32;A11HA32 Pantethin
A12AA01;A12AA01 Calciumphosphat
A12AA02;A12AA02 Calciumglubionat
A12AA03;A12AA03 Calciumgluconat
A12AA04;A12AA04 Calciumcarbonat
A12AA05;A12AA05 Calciumlactat
A12AA06;A12AA06 Calciumlactogluconat
A12AA07;A12AA07 Calciumchlorid
A12AA08;A12AA08 Calciumglycerylphosphat
A12AA09;A12AA09 Calciumcitratlysin-Komplex
A12AA10;A12AA10 Calciumglucoheptonat
A12AA11;A12AA11 Calciumpangamat
A12AA12;A12AA12 Calciumacetat, wasserfrei
A12AA20;A12AA20 Calcium (verschiedene Salze in Kombination)
A12AA30;A12AA30 Calciumlaevulat
A12BA01;A12BA01 Kaliumchlorid
A12BA02;A12BA02 Kaliumcitrat
A12BA03;A12BA03 Kaliumhydrogentartrat
A12BA04;A12BA04 Kaliumhydrogencarbonat
A12BA05;A12BA05 Kaliumgluconat
A12BA30;A12BA30 Kombinationen
A12BA51;A12BA51 Kaliumchlorid, Kombinationen
A12CA01;A12CA01 Natriumchlorid
A12CA02;A12CA02 Natriumsulfat
A12CB01;A12CB01 Zinksulfat
A12CB02;A12CB02 Zinkgluconat
A12CB03;A12CB03 Zinkprotein-Komplex
A12CC01;A12CC01 Magnesiumchlorid
A12CC02;A12CC02 Magnesiumsulfat
A12CC03;A12CC03 Magnesiumgluconat
A12CC04;A12CC04 Magnesiumcitrat
A12CC05;A12CC05 Magnesiumaspartat
A12CC06;A12CC06 Magnesiumlactat
A12CC07;A12CC07 Magnesiumlevulinat
A12CC08;A12CC08 Magnesiumpidolat
A12CC09;A12CC09 Magnesiumorotat
A12CC10;A12CC10 Magnesiumoxid
A12CC30;A12CC30 Magnesium (verschiedene Salze in Kombination)
A12CD01;A12CD01 Natriumfluorid
A12CD02;A12CD02 Natriummonofluorphosphat
A12CD51;A12CD51 Natriumfluorid, Kombinationen
A12CE01;A12CE01 Natriumselenat
A12CE02;A12CE02 Natriumselenit
A14AA01;A14AA01 Androstanolon
A14AA02;A14AA02 Stanozolol
A14AA03;A14AA03 Metandienon
A14AA04;A14AA04 Metenolon
A14AA05;A14AA05 Oxymetholon
A14AA06;A14AA06 Quinbolon
A14AA07;A14AA07 Prasteron
A14AA08;A14AA08 Oxandrolon
A14AA09;A14AA09 Norethandrolon
A14AB01;A14AB01 Nandrolon
A14AB02;A14AB02 Ethylestrenol
A14AB03;A14AB03 Oxaboloncipionat
A16AA01;A16AA01 Levocarnitin
A16AA02;A16AA02 Ademetionin
A16AA03;A16AA03 Glutamin
A16AA04;A16AA04 Mercaptamin
A16AA05;A16AA05 Carglumsäure
A16AA06;A16AA06 Betain
A16AB01;A16AB01 Alglucerase
A16AB02;A16AB02 Imiglucerase
A16AB03;A16AB03 Agalsidase alfa
A16AB04;A16AB04 Agalsidase beta
A16AB05;A16AB05 Laronidase
A16AB06;A16AB06 Sacrosidase
A16AB07;A16AB07 Alglucosidase alfa
A16AB08;A16AB08 Galsulfase
A16AB09;A16AB09 Idursulfase
A16AB10;A16AB10 Velaglucerase alfa
A16AB11;A16AB11 Taliglucerase alfa
A16AX01;A16AX01 Alpha-Liponsäure (Thioctsäure)
A16AX02;A16AX02 Anetholtrithion
A16AX03;A16AX03 Natriumphenylbutyrat
A16AX04;A16AX04 Nitisinon
A16AX05;A16AX05 Zinkacetat
A16AX06;A16AX06 Miglustat
A16AX07;A16AX07 Sapropterin
A16AX08;A16AX08 Teduglutid
B01AA01;B01AA01 Dicoumarol
B01AA02;B01AA02 Phenindion
B01AA03;B01AA03 Warfarin
B01AA04;B01AA04 Phenprocoumon
B01AA07;B01AA07 Acenocoumarol
B01AA08;B01AA08 Ethylbiscoumacetat
B01AA09;B01AA09 Clorindion
B01AA10;B01AA10 Diphenadion
B01AA11;B01AA11 Tioclomarol
B01AA12;B01AA12 Fluindion
B01AB01;B01AB01 Heparin
B01AB02;B01AB02 Antithrombin III
B01AB04;B01AB04 Dalteparin
B01AB05;B01AB05 Enoxaparin
B01AB06;B01AB06 Nadroparin
B01AB07;B01AB07 Parnaparin
B01AB08;B01AB08 Reviparin
B01AB09;B01AB09 Danaparoid
B01AB10;B01AB10 Tinzaparin
B01AB11;B01AB11 Sulodexid
B01AB12;B01AB12 Bemiparin
B01AB51;B01AB51 Heparin, Kombinationen
B01AC01;B01AC01 Ditazol
B01AC02;B01AC02 Cloricromen
B01AC03;B01AC03 Picotamid
B01AC04;B01AC04 Clopidogrel
B01AC05;B01AC05 Ticlopidin
B01AC06;B01AC06 Acetylsalicylsäure
B01AC07;B01AC07 Dipyridamol
B01AC08;B01AC08 Carbasalat calcium
B01AC09;B01AC09 Epoprostenol
B01AC10;B01AC10 Indobufen
B01AC11;B01AC11 Iloprost
B01AC13;B01AC13 Abciximab
B01AC15;B01AC15 Aloxiprin
B01AC16;B01AC16 Eptifibatid
B01AC17;B01AC17 Tirofiban
B01AC18;B01AC18 Triflusal
B01AC19;B01AC19 Beraprost
B01AC21;B01AC21 Treprostinil
B01AC22;B01AC22 Prasugrel
B01AC23;B01AC23 Cilostazol
B01AC24;B01AC24 Ticagrelor
B01AC30;B01AC30 Kombinationen
B01AC56;B01AC56 Acetylsalicylsäure und Esomeprazol
B01AD01;B01AD01 Streptokinase
B01AD02;B01AD02 Alteplase
B01AD03;B01AD03 Anistreplase
B01AD04;B01AD04 Urokinase
B01AD05;B01AD05 Fibrinolysin
B01AD06;B01AD06 Brinase
B01AD07;B01AD07 Reteplase
B01AD08;B01AD08 Saruplase
B01AD09;B01AD09 Ancrod
B01AD10;B01AD10 Drotrecogin alfa (aktiviert)
B01AD11;B01AD11 Tenecteplase
B01AD12;B01AD12 Protein C
B01AE01;B01AE01 Desirudin
B01AE02;B01AE02 Lepirudin
B01AE03;B01AE03 Argatroban
B01AE04;B01AE04 Melagatran
B01AE05;B01AE05 Ximelagatran
B01AE06;B01AE06 Bivalirudin
B01AE07;B01AE07 Dabigatran etexilat
B01AX01;B01AX01 Defibrotid
B01AX04;B01AX04 Chondroitinsulfat B
B01AX05;B01AX05 Fondaparinux
B01AX06;B01AX06 Rivaroxaban
B02AA01;B02AA01 Aminocapronsäure
B02AA02;B02AA02 Tranexamsäure
B02AA03;B02AA03 Aminomethylbenzoesäure
B02AB01;B02AB01 Aprotinin
B02AB02;B02AB02 Alfa1-Antitrypsin
B02AB04;B02AB04 Camostat
B02BA01;B02BA01 Phytomenadion
B02BA02;B02BA02 Menadion
B02BB01;B02BB01 Fibrinogen, human
B02BC01;B02BC01 Absorbierbarer Gelatineschwamm
B02BC02;B02BC02 Oxidierte Zellulose
B02BC03;B02BC03 Tetragalacturonsäurehydroxymethylester
B02BC05;B02BC05 Adrenalon
B02BC06;B02BC06 Thrombin
B02BC07;B02BC07 Kollagen
B02BC08;B02BC08 Calciumalginat
B02BC09;B02BC09 Epinephrin
B02BC10;B02BC10 Fibrinogen, human
B02BC30;B02BC30 Kombinationen
B02BD01;B02BD01 Gerinnungsfaktoren IX, II, VII und X in Kombination
B02BD02;B02BD02 Gerinnungsfaktor VIII
B02BD03;B02BD03 Faktor-VIII-Inhibitor-bypass-Aktivität
B02BD04;B02BD04 Gerinnungsfaktor IX
B02BD05;B02BD05 Gerinnungsfaktor VII
B02BD06;B02BD06 Von-Willebrand-Faktor und Gerinnungsfaktor VIII in Kombination
B02BD07;B02BD07 Gerinnungsfaktor XIII
